Q1_answer,Q2_answer,Q3_answer,Q4_answer,Q5_answer,Age,Gender,Occupation
1,1,6,Difference-honoring feminism,No,22,Male,Student
3,7,5,Difference-denying has the most cultural impact,No,21,Female,Student
1,4,10,Difference-honoring feminism,No,22,Male,Student
1,1,10,Difference-denying feminism,No,22,Male,Student
2,2,8,Difference-honoring feminism,No,22,Male,Student
9,2,8,Difference-denying feminism,No,20,Female,Student
1,1,2,Difference-honoring feminism,No,21,Male,Student
10,1,9,Difference-denying feminism,No,20,Female,Student
10,10,1,Difference-removing feminism,No,21,Female,Student
1,1,3,Difference-honoring feminism,No,22,Female,Student
